longitude,latitude,name,old_depot_code,depot_code,region,division
78.5892777,17.3652298,Bandlaguda,BGD,BDG,HYDERABAD,HAYATHNAGAR
78.5010033,17.3925741,Barkatpura,BKP,BKP,HYDERABAD,KACHEGUDA
78.2920407,17.491595,BHEL,BHEL,BHEL,SECUNDERABAD,KUKATPALLY
78.4984839,17.4467523,Cantonment,CNT,CNT,SECUNDERABAD,SECUNDERABAD
78.6099458,17.419266,Chengicherla,CCL,CGCL,SECUNDERABAD,KUSHAIGUDA
78.5251834,17.3697279,Dilsukhnagar,DSNR,DSNR,HYDERABAD,KACHEGUDA
78.4671232,17.3370639,Falaknuma,FMA,FM,HYDERABAD,CHARMINAR
78.2050891,17.0670374,Farooqnagar,FQNR,FQNR,HYDERABAD,CHARMINAR
78.535434,17.545862,Hakimpet,HPT,HPT,SECUNDERABAD,KUSHAIGUDA
78.5933436,17.3262419,Hayathnagar 1,HN1,HYT1,HYDERABAD,HAYATHNAGAR
78.5942944,17.3248677,Hayathnagar 2,HN2,HYT2,HYDERABAD,HAYATHNAGAR
78.3301001,17.4667842,HCU,HCU,HCU,HYDERABAD,CHARMINAR
78.6488,17.1868,Ibrahimpatnam,IBP,IBP,HYDERABAD,HAYATHNAGAR
78.4399211,17.5278087,Jeedimetla,JDM,JDM,SECUNDERABAD,SECUNDERABAD
78.4985969,17.3865574,Kachiguda,KCG,KCG,HYDERABAD,KACHEGUDA
78.4258628,17.4734804,Kukatpally,KPL,KP,SECUNDERABAD,KUKATPALLY
78.5654144,17.4683852,Kushaiguda,KGD,KG,SECUNDERABAD,KUSHAIGUDA
78.4151678,17.1350259,Maheshwaram,MHRM,MHRM,HYDERABAD,CHARMINAR
78.4870581,17.633733,Medchal,MDCL,MDCL,SECUNDERABAD,KUSHAIGUDA
78.4409693,17.3922032,Mehdipatnam,MPM,MP,HYDERABAD,CHARMINAR
78.503403,17.339957,Midhani,MDN,MDN,HYDERABAD,HAYATHNAGAR
78.3604004,17.5127202,Miyapur-1,MI1,MYP1,SECUNDERABAD,KUKATPALLY
78.3601848,17.513375,Miyapur-2,MI2,MYP2,SECUNDERABAD,KUKATPALLY
78.5018377,17.4074514,Musheerabad Depot 1,MSRD1,MSRD1,HYDERABAD,KACHEGUDA
78.503255,17.406835,Musheerabad Depot 2,MSRD2,MSRD2,HYDERABAD,KACHEGUDA
78.4087408,17.3342987,Rajendra Nagar,RJNR,RJNR,HYDERABAD,CHARMINAR
78.4866138,17.4323761,Ranigunj-1,RNG1,RNG1,SECUNDERABAD,SECUNDERABAD
78.488036,17.4307651,Ranigunj-2,RNG2,RNG2,SECUNDERABAD,SECUNDERABAD
78.5895838,17.4053283,Uppal,UPL,UPL,HYDERABAD,HAYATHNAGAR
